,out,tokens
0,"[0.6322531060434141, 0.199312265287262, 0.220226418442296, -0.3133259897142675]","[101, 19034, 2452, 24622, 1012, 1022, 4029, 2475, 1012, 1022, 5018, 1012, 1023, 22431, 1012, 1015, 1014, 1012, 1014, 1011, 1014, 1012, 1014, 1014, 1012, 1014, 2529, 3531, 2202, 1996, 4874, 19034, 5835, 4229, 2683, 1012, 1014, 4466, 2683, 1012, 1019, 10114, 1012, 1017, 4090, 2475, 1012, 1016, 11827, 1012, 1017, 1011, 2603, 1012, 1019, 5786, 2475, 1012, 1014, 102]"
1,"[0.4378875158918398, 0.0116603474964981, 0.2573938853674462, -0.0073621654608046]","[101, 19034, 5835, 22997, 1012, 1019, 4029, 2575, 1012, 1019, 13412, 1012, 1018, 25191, 1012, 1022, 5401, 1012, 1019, 1011, 16065, 1012, 1023, 12963, 2683, 1012, 1014, 19034, 2452, 25162, 1012, 1022, 23768, 1012, 1022, 5179, 1012, 1023, 10715, 1012, 1015, 1011, 4229, 1012, 1020, 1011, 10545, 1012, 1017, 5139, 2487, 1012, 1014, 2529, 3531, 6723, 1996, 4874, 102]"
2,"[0.3763095796250553, -0.0086107532712635, 0.0725956932178542, 0.289136362693252]","[101, 19034, 2452, 29562, 1012, 1016, 28048, 1012, 1016, 22115, 1012, 1015, 14210, 1012, 1016, 9645, 1012, 1020, 5345, 1012, 1018, 6564, 2509, 1012, 1014, 19034, 5835, 16345, 1012, 1016, 25717, 1012, 1019, 2531, 1012, 1019, 22238, 1012, 1019, 1011, 1014, 1012, 1014, 1011, 1014, 1012, 1014, 1014, 1012, 1014, 2529, 3531, 2192, 2033, 1996, 4874, 102]"
3,"[-1.0, -1.0, -1.0, -1.0]","[101, 2529, 3531, 6723, 1996, 2892, 19034, 1060, 10020, 19883, 1012, 8732, 1061, 10020, 3938, 1012, 8732, 1060, 17848, 13427, 1012, 2423, 1061, 17848, 20335, 1012, 22810, 2415, 1035, 1060, 22376, 2415, 1035, 1061, 16710, 7605, 1035, 1060, 1011, 1014, 1012, 1014, 7605, 1035, 1061, 1011, 1014, 1012, 1014, 7605, 1035, 1062, 1014, 1012, 1014, 7023, 1014, 1012, 5594, 29537, 2549, 2465, 4464, 2171, 5835, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 2184, 1024, 2340, 9099, 1035, 1060, 1014, 1012, 28489, 2683, 21619, 9099, 1035, 1061, 1011, 1014, 1012, 12457, 10790, 2683, 9099, 1035, 1062, 1014, 1012, 24398, 22907, 1053, 1035, 1060, 1011, 1014, 1012, 6109, 16048, 16703, 1053, 1035, 1061, 1014, 1012, 4029, 21486, 16932, 1053, 1035, 1062, 1011, 1014, 1012, 5890, 2692, 22022, 1053, 1035, 1059, 1011, 1014, 1012, 5890, 24096, 21619, 2171, 1024, 2322, 1010, 26718, 18863, 1024, 4874, 19883, 1012, 1015, 13427, 1012, 1016, 3938, 1012, 1015, 20335, 1012, 1020, 1011, 1014, 1012, 1014, 1011, 1014, 1012, 1014, 1014, 1012, 1014, 19034, 2452, 24622, 1012, 1022, 4029, 2475, 1012, 1022, 5018, 1012, 1023, 22431, 1012, 1015, 1014, 1012, 1014, 1011, 1014, 1012, 1014, 1014, 1012, 1014, 102]"
4,"[-1.0, -1.0, -1.0, -1.0]","[101, 19034, 5835, 4601, 2683, 1012, 1019, 4720, 2549, 1012, 1014, 11816, 1012, 1020, 4261, 2549, 1012, 1014, 6640, 2692, 1012, 1019, 28906, 1012, 1019, 19883, 2549, 1012, 1014, 19034, 1060, 10020, 27240, 1012, 1019, 1061, 10020, 12457, 1012, 27658, 1060, 17848, 4261, 2487, 1012, 1019, 1061, 17848, 22030, 1012, 8732, 2415, 1035, 1060, 24426, 2415, 1035, 1061, 18561, 7605, 1035, 1060, 2538, 1012, 22955, 22407, 2509, 7605, 1035, 1061, 1011, 5989, 1012, 6486, 2683, 23632, 2475, 7605, 1035, 1062, 3438, 2475, 1012, 1014, 7023, 1014, 1012, 6146, 28756, 2692, 2475, 2465, 4464, 2171, 5835, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 2184, 1024, 4700, 9099, 1035, 1060, 1014, 1012, 28048, 17788, 2581, 9099, 1035, 1061, 1014, 1012, 5890, 16703, 2575, 2475, 9099, 1035, 1062, 1014, 1012, 22898, 19317, 2575, 1053, 1035, 1060, 1011, 1014, 1012, 6365, 21486, 2692, 2575, 1053, 1035, 1061, 1014, 1012, 27533, 2683, 26187, 1053, 1035, 1062, 1011, 1014, 1012, 4002, 2620, 2581, 2575, 1053, 1035, 1059, 1011, 1014, 1012, 5890, 26187, 23777, 2171, 1024, 2423, 1010, 26718, 18863, 1024, 4874, 27240, 1012, 1019, 4261, 2487, 1012, 1019, 12457, 1012, 1023, 22030, 1012, 1015, 2538, 1012, 1017, 1011, 5989, 1012, 1023, 3438, 2475, 1012, 1014, 2529, 10616, 1996, 2187, 10336, 102]"
5,"[0.271005540080076, 0.1342513074638265, 0.2968154940907666, -0.0062010710611588]","[101, 19034, 2452, 27003, 1012, 1019, 4261, 2620, 1012, 1014, 19975, 1012, 1020, 17528, 1012, 1016, 6273, 1012, 1022, 1011, 1020, 1012, 1019, 5585, 2549, 1012, 1014, 2529, 3531, 3413, 2033, 1996, 4874, 19034, 5835, 4029, 2509, 1012, 1019, 4601, 2575, 1012, 1019, 5187, 1012, 1018, 11827, 1012, 1014, 18225, 1012, 1022, 1011, 28135, 1012, 1018, 5986, 2509, 1012, 1014, 102]"
6,"[-1.0, -1.0, -1.0, -1.0]","[101, 19034, 5835, 27878, 1012, 1016, 23285, 1012, 1022, 5585, 1012, 1022, 20636, 1012, 1016, 8698, 1012, 1017, 1011, 27433, 1012, 1015, 3699, 1012, 1014, 2529, 2192, 2033, 1996, 2452, 3531, 19034, 1060, 10020, 19988, 1012, 1019, 1061, 10020, 6109, 1012, 1014, 1060, 17848, 4229, 2475, 1012, 1019, 1061, 17848, 24568, 1012, 2423, 2415, 1035, 1060, 27810, 2415, 1035, 1061, 10894, 7605, 1035, 1060, 4805, 1012, 24426, 26224, 2509, 7605, 1035, 1061, 1011, 16471, 1012, 5840, 23833, 27531, 7605, 1035, 1062, 6445, 2629, 1012, 1014, 7023, 1014, 1012, 6273, 23833, 16576, 2465, 4464, 2171, 5835, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 2403, 1024, 5757, 9099, 1035, 1060, 1014, 1012, 3429, 21619, 2683, 2475, 9099, 1035, 1061, 1014, 1012, 4002, 2620, 2581, 24434, 9099, 1035, 1062, 1014, 1012, 25392, 28154, 2581, 1053, 1035, 1060, 1011, 1014, 1012, 29359, 26976, 2487, 1053, 1035, 1061, 1014, 1012, 19342, 2692, 2575, 2581, 1053, 1035, 1062, 1014, 1012, 5890, 2575, 10790, 2509, 1053, 1035, 1059, 1011, 1014, 1012, 6185, 22407, 27814, 2171, 1024, 2871, 1010, 26718, 18863, 1024, 4874, 19988, 1012, 1019, 4229, 2475, 1012, 1019, 6109, 1012, 1014, 24568, 1012, 1016, 4805, 1012, 1017, 1011, 16471, 1012, 1014, 6445, 2629, 1012, 1014, 102]"
7,"[0.636453940676493, -0.0004398997044293, 0.0747861493749924, -0.2983138441782437]","[101, 19034, 2452, 4008, 2549, 1012, 1016, 4720, 2475, 1012, 1019, 21005, 1012, 1023, 28489, 1012, 1014, 6109, 2575, 1012, 1016, 23859, 1012, 1015, 19015, 2581, 1012, 1014, 2529, 2507, 2033, 1996, 11565, 11867, 6657, 19099, 2099, 3531, 19034, 5835, 20294, 1012, 1022, 23859, 1012, 1022, 16798, 1012, 1019, 3486, 2509, 1012, 1014, 1011, 11176, 1012, 1020, 3963, 1012, 1020, 3963, 2629, 1012, 1014, 102]"
8,"[0.2904249775170041, -0.0463573513813864, 0.1625926952498753, -0.0062339468925103]","[101, 2529, 2507, 2033, 1996, 2157, 2452, 3531, 19034, 1060, 10020, 23297, 1012, 1014, 1061, 10020, 24568, 1012, 18034, 1060, 17848, 25048, 1012, 1014, 1061, 17848, 4090, 2620, 1012, 1014, 2415, 1035, 1060, 25371, 2415, 1035, 1061, 27240, 7605, 1035, 1060, 1011, 6365, 1012, 6390, 28311, 20842, 7605, 1035, 1061, 12904, 1012, 4464, 19481, 2620, 7605, 1035, 1062, 4293, 2475, 1012, 1014, 7023, 1014, 1012, 25103, 2683, 2581, 2509, 2465, 4601, 2171, 2452, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 5718, 1024, 5709, 9099, 1035, 1060, 1014, 1012, 6079, 2575, 17134, 9099, 1035, 1061, 1011, 1014, 1012, 17403, 22932, 2487, 9099, 1035, 1062, 1014, 1012, 4764, 16147, 1053, 1035, 1060, 1011, 1014, 1012, 6109, 28154, 2581, 2509, 1053, 1035, 1061, 1014, 1012, 4090, 2683, 19317, 2575, 1053, 1035, 1062, 1011, 1014, 1012, 6021, 2683, 16048, 2581, 1053, 1035, 1059, 1011, 1014, 1012, 6185, 16932, 2683, 2683, 2171, 1024, 1017, 1010, 26718, 18863, 1024, 4874, 23297, 1012, 1014, 25048, 1012, 1014, 24568, 1012, 1018, 4090, 2620, 1012, 1014, 1011, 6365, 1012, 1021, 12904, 1012, 1018, 4293, 2475, 1012, 1014, 19034, 1060, 10020, 25162, 1012, 4293, 1061, 10020, 5179, 1012, 3938, 2575, 17788, 1060, 17848, 23768, 1012, 4293, 1061, 17848, 10715, 1012, 8732, 2415, 1035, 1060, 28135, 2415, 1035, 1061, 6445, 7605, 1035, 1060, 1011, 4229, 1012, 5388, 17788, 2692, 2620, 7605, 1035, 1061, 1011, 10545, 1012, 26871, 2487, 7605, 1035, 1062, 5139, 2487, 1012, 1014, 7023, 1014, 1012, 24030, 2692, 19961, 2465, 4601, 2171, 2452, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 5511, 1024, 3429, 9099, 1035, 1060, 1014, 1012, 17222, 20958, 2629, 9099, 1035, 1061, 1011, 1014, 1012, 5840, 2575, 19481, 2581, 9099, 1035, 1062, 1014, 1012, 26263, 2683, 2509, 1053, 1035, 1060, 1011, 1014, 1012, 29359, 27814, 2487, 1053, 1035, 1061, 1014, 1012, 19342, 2683, 2620, 2487, 1053, 1035, 1062, 1011, 1014, 1012, 4002, 2575, 21926, 2549, 1053, 1035, 1059, 1011, 1014, 1012, 4002, 16086, 2620, 2683, 2171, 1024, 2410, 1010, 26718, 18863, 1024, 4874, 25162, 1012, 1022, 23768, 1012, 1022, 5179, 1012, 1023, 10715, 1012, 1015, 1011, 4229, 1012, 1020, 1011, 10545, 1012, 1017, 5139, 2487, 1012, 1014, 102]"
9,"[0.6342725081441338, 0.0943358097589406, 0.169554712451638, -0.0075186482664522]","[101, 19034, 1060, 10020, 16029, 1012, 2423, 1061, 10020, 20741, 1012, 4293, 1060, 17848, 23988, 1012, 2423, 1061, 17848, 26257, 1012, 2423, 2415, 1035, 1060, 4261, 2475, 2415, 1035, 1061, 25162, 7605, 1035, 1060, 13285, 1012, 11518, 16068, 2475, 7605, 1035, 1061, 4185, 1012, 28004, 2575, 2683, 2620, 7605, 1035, 1062, 3938, 2629, 1012, 1014, 7023, 1014, 1012, 6391, 2683, 12521, 2487, 2465, 4601, 2171, 2452, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 5718, 1024, 4724, 9099, 1035, 1060, 1014, 1012, 24902, 2575, 2581, 2475, 9099, 1035, 1061, 1011, 1014, 1012, 6185, 18827, 2620, 2581, 9099, 1035, 1062, 1014, 1012, 2997, 2683, 2683, 1053, 1035, 1060, 1011, 1014, 1012, 29359, 2620, 2487, 1053, 1035, 1061, 1014, 1012, 4029, 21486, 21084, 1053, 1035, 1062, 1011, 1014, 1012, 6185, 21084, 23352, 1053, 1035, 1059, 1011, 1014, 1012, 6021, 16048, 2620, 2620, 2171, 1024, 1018, 1010, 26718, 18863, 1024, 4874, 16029, 1012, 1016, 23988, 1012, 1016, 20741, 1012, 1022, 26257, 1012, 1016, 13285, 1012, 1015, 4185, 1012, 1021, 3938, 2629, 1012, 1014, 19034, 1060, 10020, 4724, 2509, 1012, 2423, 1061, 10020, 25162, 1012, 1019, 1060, 17848, 2753, 2549, 1012, 2423, 1061, 17848, 23785, 1012, 1019, 2415, 1035, 1060, 4805, 2620, 2415, 1035, 1061, 24622, 7605, 1035, 1060, 6282, 2692, 1012, 6535, 27814, 23499, 7605, 1035, 1061, 4261, 2509, 1012, 24232, 22203, 2509, 7605, 1035, 1062, 18164, 2575, 1012, 1014, 7023, 1014, 1012, 6079, 28311, 21926, 2465, 4601, 2171, 2452, 3058, 2539, 1011, 5641, 1011, 16798, 2475, 2051, 2603, 1024, 2324, 1024, 2385, 9099, 1035, 1060, 1014, 1012, 6191, 20958, 2581, 2509, 9099, 1035, 1061, 1014, 1012, 5641, 23777, 21619, 9099, 1035, 1062, 1014, 1012, 29140, 24087, 1053, 1035, 1060, 1011, 1014, 1012, 6227, 2683, 19961, 2487, 1053, 1035, 1061, 1014, 1012, 4029, 17914, 2683, 2629, 1053, 1035, 1062, 1011, 1014, 1012, 4002, 23352, 16147, 1053, 1035, 1059, 1011, 1014, 1012, 6185, 22025, 2581, 2581, 2171, 1024, 3770, 1010, 26718, 18863, 1024, 4874, 4724, 2509, 1012, 1016, 2753, 2549, 1012, 1016, 25162, 1012, 1019, 23785, 1012, 1019, 6282, 2692, 1012, 1022, 4261, 2509, 1012, 1017, 18164, 2575, 1012, 1014, 2529, 3531, 10616, 1996, 2157, 14757, 102]"
